id,species,island,sex,flipper_length_mm,weight_lb
1,Adelie,Torgersen,male,181,8.356998920755139
2,Adelie,Torgersen,female,186,7.347528186785134
3,Adelie,Torgersen,female,195,6.165161811966595
4,Adelie,Torgersen,NA,NA,NA
5,Adelie,Torgersen,female,193,9.173660220543224
6,Adelie,Torgersen,male,190,8.157105459133673
7,Adelie,Torgersen,female,181,8.584905733588613
8,Adelie,Torgersen,male,195,11.881650042890683
9,Adelie,Torgersen,NA,193,8.139791338384413
10,Adelie,Torgersen,NA,190,8.100202272585646
11,Adelie,Torgersen,NA,186,5.624344108388545
12,Adelie,Torgersen,NA,180,6.309005636369433
13,Adelie,Torgersen,female,182,6.364121899619209
14,Adelie,Torgersen,male,191,8.798008358034071
15,Adelie,Torgersen,male,198,9.880517090428395
16,Adelie,Torgersen,female,185,7.480561510746239
17,Adelie,Torgersen,female,195,6.186361595129763
18,Adelie,Torgersen,male,197,9.958447323097571
19,Adelie,Torgersen,female,184,8.338839933556782
20,Adelie,Torgersen,male,194,8.985745526028685
21,Adelie,Biscoe,female,174,6.067119508522608
22,Adelie,Biscoe,male,180,8.47888931461513
23,Adelie,Biscoe,female,189,7.662068507028409
24,Adelie,Biscoe,male,185,8.11404641684236
25,Adelie,Biscoe,male,180,8.086170910834118
26,Adelie,Biscoe,female,187,7.196212906888281
27,Adelie,Biscoe,male,183,7.1386109120823384
28,Adelie,Biscoe,female,187,7.124732541971209
29,Adelie,Biscoe,female,172,7.291392550863435
30,Adelie,Biscoe,male,180,7.304014986987154
31,Adelie,Dream,female,178,5.664296652831724
32,Adelie,Dream,male,178,7.893754707119408
33,Adelie,Dream,female,188,5.574275589991183
34,Adelie,Dream,male,184,5.075327997428579
35,Adelie,Dream,female,195,5.540769354733003
36,Adelie,Dream,male,196,7.4640626627107025
37,Adelie,Dream,male,190,9.484580437261348
38,Adelie,Dream,female,180,8.137113284214013
39,Adelie,Dream,female,181,7.664468285199738
40,Adelie,Dream,male,184,8.212944336914868
41,Adelie,Dream,female,182,5.248238733199147
42,Adelie,Dream,male,195,8.792017322738896
43,Adelie,Dream,female,186,6.390265569243963
44,Adelie,Dream,male,196,7.93104819195861
45,Adelie,Dream,female,185,6.176901851523148
46,Adelie,Dream,male,190,8.726590847118167
47,Adelie,Dream,male,182,5.90532676854065
48,Adelie,Dream,NA,179,5.8547233568134045
49,Adelie,Dream,female,190,8.00735429757201
50,Adelie,Dream,male,191,7.114099171163997
51,Adelie,Biscoe,female,186,5.2539926371881585
52,Adelie,Biscoe,male,188,8.134985984798377
53,Adelie,Biscoe,female,190,7.242870364416896
54,Adelie,Biscoe,male,200,9.585787824326516
55,Adelie,Biscoe,female,187,7.355234799302315
56,Adelie,Biscoe,male,191,7.083387008346463
57,Adelie,Biscoe,female,186,6.0445761669085325
58,Adelie,Biscoe,male,193,6.13281076899831
59,Adelie,Biscoe,female,181,5.464935276071826
60,Adelie,Biscoe,male,194,7.401343241399008
61,Adelie,Biscoe,female,185,5.670559859623291
62,Adelie,Biscoe,male,195,9.140374234750258
63,Adelie,Biscoe,female,185,7.345145685309505
64,Adelie,Biscoe,male,192,7.288286591856891
65,Adelie,Biscoe,female,184,6.318103706804145
66,Adelie,Biscoe,male,192,7.678571926888962
67,Adelie,Biscoe,female,195,6.536119421169069
68,Adelie,Biscoe,male,188,8.248593991054593
69,Adelie,Torgersen,female,190,5.634271227285046
70,Adelie,Torgersen,male,198,8.189702347421132
71,Adelie,Torgersen,female,190,8.524842640466506
72,Adelie,Torgersen,male,190,8.388695818918107
73,Adelie,Torgersen,female,196,5.316980562014409
74,Adelie,Torgersen,male,197,8.764086339442946
75,Adelie,Torgersen,female,190,5.981866573576088
76,Adelie,Torgersen,male,195,9.479197002684739
77,Adelie,Torgersen,female,191,6.69997315544538
78,Adelie,Torgersen,male,184,7.872956680586742
79,Adelie,Torgersen,female,187,5.558492730672183
80,Adelie,Torgersen,male,195,5.722450429004445
81,Adelie,Torgersen,female,189,7.577817010762399
82,Adelie,Torgersen,male,196,8.724424303450974
83,Adelie,Torgersen,female,187,6.049753825493736
84,Adelie,Torgersen,male,193,8.944409184665789
